Date,Price,Open,High,Low,Vol.,Change %
01/12/2023,66.84,66.36,66.87,65.59,819.17K,0.74%
30/11/2023,66.35,66.71,67.05,66.19,1.57M,-0.49%
29/11/2023,66.68,66.52,67.11,66.3,717.74K,-0.04%
28/11/2023,66.71,65.1,66.76,64.6,1.06M,2.90%
27/11/2023,64.83,65.12,65.3,64.22,734.00K,1.33%
24/11/2023,63.98,64.94,65.12,63.94,243.71K,-1.04%
23/11/2023,64.65,64.73,64.93,64.41,130.84K,-0.11%
22/11/2023,64.72,64.79,65.09,64.36,522.94K,0.56%
21/11/2023,64.36,63.63,65.55,63.59,1.00M,2.24%
20/11/2023,62.95,62.32,62.97,61.8,391.20K,0.38%
17/11/2023,62.71,63.42,63.57,62.25,465.33K,-0.67%
16/11/2023,63.13,61.88,63.6,61.72,965.35K,3.51%
15/11/2023,60.99,61.37,61.41,60.41,535.67K,-0.62%
14/11/2023,61.37,60.8,61.68,60.47,638.85K,2.66%
13/11/2023,59.78,59.31,59.91,58.8,458.65K,0.79%
10/11/2023,59.31,58.81,60.12,58.49,659.52K,0.00%
09/11/2023,59.31,58.57,60.56,58.15,368.86K,1.35%
08/11/2023,58.52,59.24,60.13,58.29,445.40K,-1.91%
07/11/2023,59.66,60.53,60.63,58.75,809.66K,-2.20%
06/11/2023,61,60.94,61.82,60.77,480.90K,-0.64%
03/11/2023,61.39,59.92,61.94,59.92,506.34K,3.30%
02/11/2023,59.43,60.12,60.12,59.05,451.45K,-0.49%
01/11/2023,59.72,58.83,59.76,58.38,686.02K,1.96%
31/10/2023,58.57,59.92,60.72,58.17,1.08M,-2.50%
30/10/2023,60.07,60.53,60.59,59.17,502.15K,-0.48%
27/10/2023,60.36,59.46,60.39,58.73,408.05K,2.08%
26/10/2023,59.13,59.96,60.03,57.96,564.35K,-1.35%
25/10/2023,59.94,59.95,60.9,59.92,349.88K,-0.02%
24/10/2023,59.95,59.08,60.08,58.88,470.94K,0.45%
23/10/2023,59.68,58.89,59.78,57.85,953.73K,0.86%
20/10/2023,59.17,58.92,60.36,58.76,477.67K,0.37%
19/10/2023,58.95,58.81,59,58.1,320.25K,0.00%
18/10/2023,58.95,59.4,59.93,58.61,564.33K,0.15%
17/10/2023,58.86,58.27,59.12,58.15,447.72K,1.34%
16/10/2023,58.08,57.82,58.47,57.3,428.21K,0.12%
13/10/2023,58.01,57.35,58.21,57.03,569.24K,4.05%
12/10/2023,55.75,56.28,56.64,55.45,401.82K,-1.24%
11/10/2023,56.45,55.92,56.46,55.14,761.85K,2.10%
10/10/2023,55.29,55.22,55.77,54.97,459.90K,1.84%
06/10/2023,54.29,53.73,54.65,53.4,479.31K,1.06%
05/10/2023,53.72,53.3,53.86,53.1,440.53K,0.73%
04/10/2023,53.33,54.04,54.08,52.89,485.88K,-0.87%
03/10/2023,53.8,53.08,53.99,52.67,619.99K,1.05%
02/10/2023,53.24,54.51,54.7,52.92,824.62K,-3.41%
29/09/2023,55.12,55.77,56.17,54.66,1.22M,0.95%
28/09/2023,54.6,54.36,54.66,53.77,808.55K,0.50%
27/09/2023,54.33,55.86,55.88,53.56,727.67K,-3.34%
26/09/2023,56.21,57.04,57.33,56.18,616.37K,-2.06%
25/09/2023,57.39,58.12,58.19,56.96,513.14K,-1.78%
22/09/2023,58.43,58.74,59.69,58.32,447.84K,-0.09%
21/09/2023,58.48,58.96,59.54,58.38,1.08M,-2.74%
20/09/2023,60.13,58.93,60.51,58.86,511.83K,2.16%
19/09/2023,58.86,59.72,59.75,58.8,576.29K,-1.92%
18/09/2023,60.01,59.79,60.28,59.31,393.21K,0.32%
15/09/2023,59.82,58.76,59.95,58.75,2.57M,3.03%
14/09/2023,58.06,57.81,58.51,57.52,761.67K,0.85%
13/09/2023,57.57,58.37,58.48,56.99,709.09K,-1.42%
12/09/2023,58.4,58.01,59.05,58.01,507.98K,-0.31%
11/09/2023,58.58,58.25,58.8,58.17,398.35K,1.77%
08/09/2023,57.56,57,58.21,56.91,597.71K,0.74%
07/09/2023,57.14,56.9,57.28,56.82,703.36K,0.07%
06/09/2023,57.1,56.95,57.31,56.39,717.53K,0.05%
05/09/2023,57.07,58.19,58.9,56.68,635.46K,-2.84%
01/09/2023,58.74,59.89,60.09,58.67,606.85K,-0.34%
31/08/2023,58.94,58.79,59.36,58.28,1.47M,-0.57%
30/08/2023,59.28,59.84,60.35,59.03,356.49K,-0.10%
29/08/2023,59.34,58.65,59.49,58.25,525.38K,1.45%
28/08/2023,58.49,57.45,58.7,57.33,378.91K,2.17%
25/08/2023,57.25,57.5,57.85,56.39,557.33K,-0.28%
24/08/2023,57.41,57.29,58.04,56.92,501.55K,-0.76%
23/08/2023,57.85,57.06,58.37,56.94,446.82K,2.52%
22/08/2023,56.43,56.17,56.51,55.86,541.56K,0.86%
21/08/2023,55.95,55.69,55.95,55.14,410.79K,0.70%
18/08/2023,55.56,55.74,55.82,55.04,420.97K,-0.47%
17/08/2023,55.82,56.31,56.89,55.52,601.36K,-0.62%
16/08/2023,56.17,57.2,57.2,56.1,641.30K,-1.95%
15/08/2023,57.29,59.16,59.28,57.24,941.24K,-3.86%
14/08/2023,59.59,60.37,60.44,59.11,763.61K,-2.10%
11/08/2023,60.87,58.44,61.25,58.11,541.28K,2.73%
10/08/2023,59.25,59.86,59.88,58.61,1.07M,-0.19%
09/08/2023,59.36,59.01,59.5,58.41,750.77K,1.14%
08/08/2023,58.69,58,58.84,57.83,1.14M,-0.17%
04/08/2023,58.79,56.99,58.95,56.99,835.55K,3.81%
03/08/2023,56.63,56.27,56.68,55.73,618.68K,0.41%
02/08/2023,56.4,58.09,58.09,56.34,989.31K,-3.09%
01/08/2023,58.2,58.29,58.67,57.83,486.91K,-1.57%
31/07/2023,59.13,58.46,59.45,58.12,608.65K,1.55%
